index,task,verb,sentence,neg_sentence,complement,turker_pos_ratings,turker_neg_ratings,bert_pos_entailment_prob,bert_pos_contradiction_prob,bert_pos_neutral_prob,bert_neg_entailment_prob,bert_neg_contradiction_prob,bert_neg_neutral_prob,signature
11,to,attempt,There was nothing online that could be useful for organizations attempting to address improper payments.,There was nothing online that could be useful for organizations not attempting to address improper payments.,There was nothing online that could be useful for organizations addressing improper payments.,"2.0,2.0,2.0","-1.0,0.0,2.0",0.9986395,0.000307523,0.001052958,0.9983884,0.000424298,0.00118736,o/-
12,to,attempt,"It's hard to imagine an aged person attempting to use this toothpaste in real life, said the manager.","It's hard to imagine an aged person not attempting to use this toothpaste in real life, said the manager.","It's hard to imagine an aged person using this toothpaste in real life, said the manager.","0.0,1.0,2.0","-2.0,-1.0,0.0",0.9986364,0.000367211,0.000996308,0.998464,0.00048163,0.00105442,o/-
13,to,attempt,There are equally formidable obstacles when attempting to obtain funding from alcohol study sections.,There are equally formidable obstacles when not attempting to obtain funding from alcohol study sections.,There are equally formidable obstacles when obtaining funding from alcohol study sections.,"1.0,1.0,2.0","-2.0,-1.0,0.0",0.9987503,0.000312253,0.000937407,0.000525258,0.9987249,0.000749803,o/-
14,to,attempt,"Had he attempted to take the brill back with him, he would be caught in the torrent for sure.","Had he not attempted to take the brill back with him, he would be caught in the torrent for sure.","Had he taken the brill back with him, he would be caught in the torrent for sure.","0.0,1.0,1.0","-2.0,-1.0,1.0",0.99869925,0.0003345,0.000966222,0.9985089,0.00066817,0.000822929,o/-
15,to,attempt,"When he attempts to lampoon what he sees as a silly orthodoxy, he often just gets it wrong.","When he does not attempt to lampoon what he sees as a silly orthodoxy, he often just gets it wrong.","When he lampoons what he sees as a silly orthodoxy, he often just gets it wrong.","0.0,1.0,2.0","-1.0,-1.0,1.0",0.99883884,0.000273508,0.000887632,0.998777,0.000331974,0.000891036,o/-
16,to,attempt,"Many attempt to submit without counsel or advice, and all fail due to this restriction. ","Many do not attempt to submit without counsel or advice, and all fail due to this restriction. ","Many submit without counsel or advice, and all fail due to this restriction.","0.0,1.0,2.0","-2.0,-1.0,-1.0",0.9987172,0.000529122,0.000753775,0.001175376,0.99746114,0.001363496,o/-
17,to,attempt,We attempted to build a world class finance organization without any vision or agenda.,We did not attempt to build a world class finance organization without any vision or agenda.,We built a world class finance organization without any vision or agenda.,"0.0,0.0,1.0","-1.0,0.0,0.0",0.99858785,0.000401745,0.001010427,0.000835767,0.9984156,0.000748694,o/-
18,to,attempt,Big businesses have attempted to exploit the area's natural resources in the past.,Big businesses have not attempted to exploit the area's natural resources in the past.,Big businesses have exploited the area's natural resources in the past.,"0.0,0.0,2.0","-2.0,-2.0,-1.0",0.99864465,0.00034338,0.001011995,0.000199676,0.9993111,0.000489251,o/-
19,to,attempt,Several private sector and government executives attempted to hamper our project.,Several private sector and government executives did not attempt to hamper our project.,Several private sector and government executives hampered our project.,"0.0,1.0,1.0","-2.0,-2.0,0.0",0.99851316,0.000245206,0.001241615,0.000113829,0.99962866,0.000257549,o/-
20,to,attempt,Anyone who attempts to enter after we have done so will be arrested immediately.,Anyone who does not attempt to enter after we have done so will be arrested immediately.,Anyone who enters after we have done so will be arrested immediately.,"1.0,2.0,2.0","-1.0,0.0,1.0",0.99843085,0.000301927,0.001267175,0.00171947,0.9964648,0.001815848,o/-
21,to,attempt,Britain first attempted to open trade with China in the 1400's and was accepted.,Britain first did not attempt to open trade with China in the 1400's and was accepted.,Britain first opened trade with china in the 1400's and was accepted.,"1.0,1.0,2.0","-2.0,-2.0,-1.0",0.9982304,0.000352313,0.001417261,0.000270855,0.99917704,0.000552109,o/-
22,to,attempt,Four agencies attempted to use information technologies to improve services.,Four agencies did not attempt to use information technologies to improve services.,Four agencies used information technologies to improve services.,"1.0,1.0,1.0","-2.0,-2.0,-1.0",0.99846685,0.000287005,0.001246252,0.000690587,0.99818385,0.001125579,o/-
23,to,intend,Congress intended to restrict representation for aliens.,Congress did not intend to restrict representation for aliens.,Congress restricted representation for aliens.,"0.0,1.0,2.0","-2.0,0.0,1.0",0.9982222,0.000587609,0.001190167,0.002374945,0.99578613,0.001838878,o/o
24,to,start,I started to slink away.,I did not start to slink away.,I slunk away.,"1.0,2.0,2.0","-2.0,-2.0,-2.0",0.998677,0.000209317,0.001113701,0.000210087,0.9995172,0.00027277,+/-
25,to,start,He started to feel funny.,He did not start to feel funny.,He felt funny.,"1.0,2.0,2.0","-2.0,-2.0,-2.0",0.99817383,0.000143441,0.001682837,0.001684452,0.9965125,0.001803025,+/-
26,to,get,We've got to find Tommy.,We've not got to find Tommy.,We've found tommy.,"0.0,0.0,1.0","-1.0,0.0,0.0",0.9882521,0.002591717,0.009156277,0.000127305,0.99964094,0.00023183,+/-
27,to,help,The worksharing programs have helped to make the process smoother.,The worksharing programs have not helped to make the process smoother.,The worksharing programs have made the process smoother.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.99860424,0.000214851,0.001180927,0.000164952,0.999524,0.000311103,+/o
28,to,help,The Washington based organization helped to overturn the practice.,The Washington based organization did not help to overturn the practice.,The washington based organization overturned the practice.,"-1.0,2.0,2.0","-2.0,-1.0,-1.0",0.99820995,0.000722325,0.001067738,0.001467828,0.9950832,0.003449016,+/o
29,to,help,They thought that the hedge funds helped to stabilize the crisis.,They thought that the hedge funds did not help to stabilize the crisis.,They thought that the hedge funds stabilized the crisis.,"1.0,1.0,2.0","-2.0,-1.0,1.0",0.99843174,0.000258778,0.001309431,0.00014852,0.99958843,0.000263145,+/o
30,to,help,The plan has helped to make the employees more efficient. ,The plan has not helped to make the employees more efficient. ,The plan has made the employees more efficient.,"0.0,2.0,2.0","-2.0,-1.0,-1.0",0.99846077,0.000228703,0.001310571,0.000241941,0.9993193,0.000438708,+/o
31,to,help,The companion rule helped to keep prices reasonable.,The companion rule did not help to keep prices reasonable.,The companion rule kept prices reasonable.,"1.0,1.0,2.0","-2.0,-1.0,0.0",0.9984305,0.00030881,0.001260678,0.001530686,0.9977253,0.000744016,+/o
32,to,help,Polish October helped to relax Communist controls.,Polish October did not help to relax Communist controls.,Polish october relaxed communist controls.,"0.0,1.0,2.0","-1.0,-1.0,1.0",0.99844116,0.000488015,0.001070846,0.000935005,0.9981772,0.000887746,+/o
33,to,help,Lighted panels help to illuminate the manuscript.,Lighted panels do not help to illuminate the manuscript.,Lighted panels illuminate the manuscript.,"1.0,1.0,2.0","-1.0,-1.0,-1.0",0.9979802,0.000476091,0.001543743,0.000437036,0.9987717,0.000791122,+/o
34,to,get,I've got to say something.  ,I've not got to say something.  ,I've said something ..,"-2.0,0.0,0.0","-2.0,-2.0,0.0",0.9860288,0.002285153,0.011686121,0.000517607,0.9985696,0.000912739,+/-
35,to,get,'You've got to be kidding.','You've not got to be kidding.',` you've been kidding ..,"-2.0,0.0,1.0","-2.0,0.0,0.0",0.98662335,0.003874863,0.009501868,0.000241653,0.9992059,0.000552427,+/-
36,to,get,I got to work early.,I did not get to work early.,I worked early.,"1.0,2.0,2.0","-2.0,-1.0,-1.0",0.99879503,0.000166645,0.001038245,0.001101447,0.99730223,0.001596364,+/-
37,to,start,She started to walk away.,She did not start to walk away.,She walked away.,"1.0,1.0,2.0","-2.0,-2.0,-2.0",0.99843,0.000154545,0.001415575,0.027201332,0.96789724,0.004901281,+/-
38,to,start,"In fact, I eventually started to like it.","In fact, I eventually did not start to like it.","In fact, i eventually liked it.","1.0,1.0,2.0","-2.0,-2.0,-1.0",0.9985681,0.000188544,0.001243416,0.00077257,0.9980457,0.001181781,+/-
39,to,start,He started to travel west at daybreak.,He did not start to travel west at daybreak.,He travelled west at daybreak.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.9985513,0.000299143,0.001149518,0.000741564,0.9983815,0.000876872,+/-
40,to,start,At some point I started to like it.,At some point I did not start to like it.,At some point i liked it.,"2.0,2.0,2.0","-1.0,-1.0,-1.0",0.9984652,0.000156121,0.001378664,0.001228365,0.9974372,0.001334405,+/-
41,to,start,The thing started to grow brighter.,The thing did not start to grow brighter.,The thing grew brighter.,"1.0,1.0,2.0","-2.0,-1.0,2.0",0.99860185,0.000157902,0.0012403,0.000176479,0.9995444,0.000279239,+/-
42,to,start,Drew started to consider his words.,Drew did not start to consider his words.,Drew considered his words.,"0.0,1.0,1.0","-2.0,-2.0,-1.0",0.99890935,0.000196513,0.000894221,0.0009522,0.9981558,0.000892072,+/-
43,to,start,Everything started to look beige.,Everything did not start to look beige.,Everything looked beige.,"0.0,1.0,2.0","-2.0,-2.0,-1.0",0.9986103,0.000228492,0.001161231,0.000251192,0.9993869,0.000361946,+/-
44,to,attempt,We have attempted to make the hiring process more comprehensive than ever.,We have not attempted to make the hiring process more comprehensive than ever.,We have made the hiring process more comprehensive than ever.,"1.0,1.0,1.0","-1.0,-1.0,0.0",0.99807304,0.000461998,0.001465054,0.000112241,0.9997104,0.000177378,o/-
45,to,attempt,The Post Office is forbidden from ever attempting to close any office.,The Post Office is forbidden from ever not attempting to close any office.,The post office is forbidden from ever closing any office.,"2.0,2.0,2.0","-1.0,-1.0,1.0",0.9987954,0.000225041,0.000979542,0.99881124,0.00026488,0.000923862,o/-
46,to,attempt,Adrin skipped the easier parries and attempted to put Jon off balance.,Adrin skipped the easier parries and did not attempt to put Jon off balance.,Adrin skipped the easier parries and put jon off balance.,"0.0,0.0,1.0","-2.0,0.0,0.0",0.99649954,0.002860839,0.000639561,0.000275308,0.9993224,0.000402323,o/-
47,to,manage,They managed to bear the pain and stay conscious the whole time,They did not manage to bear the pain and stay conscious the whole time,They beared the pain and stay conscious the whole.,"1.0,2.0,2.0","-2.0,-2.0,-2.0",0.9988042,0.000211178,0.000984552,0.000110346,0.99971133,0.000178302,+/-
48,to,manage,The tobacco industry managed to get a higher stock market evaluation.,The tobacco industry did not manage to get a higher stock market evaluation.,The tobacco industry got a higher stock market evaluation.,"1.0,2.0,2.0","-2.0,-2.0,-2.0",0.9988739,0.000250859,0.000875251,0.000180314,0.99951243,0.00030734,+/-
49,to,manage,He managed to cook a horse-stew that left Ca'daan stuffed like a pig.,He did not manage to cook a horse-stew that left Ca'daan stuffed like a pig.,He cooked a horse-stew that left ca ` daan stuffed like a pig.,"2.0,2.0,2.0","-2.0,-1.0,-1.0",0.99886215,0.000432421,0.000705391,0.000126299,0.9996377,0.000236003,+/-
50,to,manage,They managed to sever his femoral artery and he died shortly after. ,They did not manage to sever his femoral artery and he died shortly after. ,They severed his femoral artery and he died shortly after.,"2.0,2.0,2.0","-1.0,-1.0,1.0",0.998771,0.000524035,0.000704916,0.000584834,0.99832386,0.001091346,+/-
51,to,manage,Ovitz was a small time agent who barely managed to stay in business.,Ovitz was a small time agent who barely did not manage to stay in business.,Ovitz was a small time agent who barely stayed in business.,"2.0,2.0,2.0","-2.0,1.0,1.0",0.9989604,0.000360228,0.00067941,0.9989335,0.000393691,0.000672821,+/-
52,to,manage,Florida knew exactly how the contractor managed to keep a low price.,Florida knew exactly how the contractor did not manage to keep a low price.,Florida knew exactly how the contractor kept a low price.,"1.0,1.0,2.0","-2.0,-2.0,-1.0",0.99876845,0.000279157,0.000952436,0.9804912,0.016264556,0.003244167,+/-
53,to,manage,Muslims army managed to draw out the Soviet army from Afghanistan.,Muslims army did not manage to draw out the Soviet army from Afghanistan.,Muslims army drew out the soviet army from afghanistan.,"2.0,2.0,2.0","-2.0,-2.0,-2.0",0.9978846,0.001373331,0.000742108,0.000743302,0.9981828,0.001073896,+/-
54,to,manage,Travel brochures have managed to make Mt. Fuji mundane and tacky.,Travel brochures have not managed to make Mt. Fuji mundane and tacky.,Travel brochures have made mt. fuji mundane and tacky.,"1.0,2.0,2.0","-2.0,-1.0,-1.0",0.9988508,0.00026014,0.00088894,0.000198776,0.9994312,0.000370026,+/-
55,to,manage,I managed to sneak one of the books I was studying back with me.,I did not manage to sneak one of the books I was studying back with me.,I snuck one of the books i was studying back with me.,"2.0,2.0,2.0","-2.0,-2.0,-2.0",0.9989103,0.000261946,0.000827747,0.000281336,0.9989239,0.000794706,+/-
56,to,manage,"Later, Japan managed to overcome stagnation in just a few years.","Later, Japan did not manage to overcome stagnation in just a few years.","Later, japan overcame stagnation in just a few years.","1.0,2.0,2.0","-2.0,-2.0,-1.0",0.99856645,0.00031677,0.001116799,0.000520118,0.99834573,0.001134197,+/-
57,to,manage,"He has managed to do so, at times through sheer force of will.","He has not managed to do so, at times through sheer force of will.","He has done so, at times through sheer force of will.","2.0,2.0,2.0","-2.0,-1.0,1.0",0.9988167,0.000184169,0.000999045,0.000154346,0.99955946,0.000286168,+/-
58,to,manage, He managed to dig a small hollow in the sand before dropping off to sleep., He did not manage to dig a small hollow in the sand before dropping off to sleep.,He dug a small hollow in the sand before dropping off to sleep.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.99875593,0.000553032,0.000691049,0.000592487,0.9983468,0.0010608,+/-
59,to,manage,It's hard to see how he managed to prove his story is true.,It's hard to see how he did not manage to prove his story is true.,It's hard to see how he proved his story is true.,"2.0,2.0,2.0","-2.0,-1.0,-1.0",0.9988096,0.000281782,0.000908612,0.9983308,0.000542312,0.001126857,+/-
60,to,manage,Pilsudski and his troops managed to hold back the Soviets.,Pilsudski and his troops did not manage to hold back the Soviets.,Pilsudski and his troops held back the soviets.,"2.0,2.0,2.0","-2.0,-2.0,-2.0",0.99850285,0.000755204,0.000741971,0.000410505,0.9991289,0.000460553,+/-
61,to,manage,I managed to pick-pocket someone next to the snack-stand.,I did not manage to pick-pocket someone next to the snack-stand.,I pick-pocketted someone next to the snack-stand.,"2.0,2.0,2.0","-2.0,-2.0,-2.0",0.998721,0.000353121,0.000925849,0.000144122,0.9996049,0.000251102,+/-
62,to,manage,They managed to reach a shrubbery close by without issue.,They did not manage to reach a shrubbery close by without issue.,They reached a shrubbery close by without issue.,"1.0,2.0,2.0","-2.0,-1.0,2.0",0.9986337,0.000314969,0.001051307,0.000195918,0.9994591,0.000345022,+/-
63,to,manage,Titus managed to convert the entire area in record time.,Titus did not manage to convert the entire area in record time.,Titus converted the entire area in record time.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.9988054,0.000248114,0.000946478,0.000217379,0.9993279,0.000454763,+/-
64,to,manage, She managed to avoid his lips and slid away from him., She did not manage to avoid his lips and slid away from him.,She avoided his lips and slid away from him.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.9987864,0.000454913,0.000758712,0.000767377,0.99847,0.000762589,+/-
65,to,manage,"Still, Miyajima manages to be both solemn and lively.","Still, Miyajima does not manage to be both solemn and lively.","Still, miyajima is both solemn and lively.","0.0,2.0,2.0","-2.0,-1.0,-1.0",0.99870884,0.000286345,0.001004849,0.000685602,0.9982911,0.001023385,+/-
66,to,manage,"His face was sick, but he managed to grin at Hanson.","His face was sick, but he did not manage to grin at Hanson.","His face was sick, but he grinned at hanson.","1.0,2.0,2.0","-2.0,-2.0,-1.0",0.99887234,0.000349066,0.000778673,0.000223697,0.99945253,0.00032371,+/-
67,to,manage,The Moors managed to penetrate far north of Aveiro. ,The Moors did not manage to penetrate far north of Aveiro. ,The moors penetrated far north of aveiro.,"1.0,2.0,2.0","-2.0,-2.0,-2.0",0.9986407,0.000352799,0.001006478,0.000444962,0.9987662,0.000788858,+/-
68,to,manage,Napoleon managed to defeat the Prussians thanks to his genius war ability.,Napoleon did not manage to defeat the Prussians thanks to his genius war ability.,Napoleon defeated the prussians thanks to his genius war ability.,"2.0,2.0,2.0","-2.0,-2.0,-1.0",0.9983183,0.000823769,0.000857911,0.00028427,0.9991217,0.000593952,+/-
69,to,manage,"We've managed to get some testosterone from a blond homunculus, he reported.","We've not managed to get some testosterone from a blond homunculus, he reported.","We've gotten some testosterone from a blond homunculus, he reported.","1.0,2.0,2.0","-2.0,-2.0,2.0",0.99886847,0.000382346,0.000749178,0.000187877,0.9994148,0.000397311,+/-
70,to,attempt,"Robespierre attempted to quell the extremists, but was killed anyway.","Robespierre did not attempt to quell the extremists, but was killed anyway.","Robespierre quelled the extremists, but was killed anyway.","0.0,1.0,2.0","-2.0,-2.0,-1.0",0.9976507,0.001448415,0.000900856,0.003098378,0.995452,0.001449602,o/-
71,to,attempt,He attempted to make his words casual.,He did not attempt to make his words casual.,He made his words casual.,"0.0,0.0,0.0","-1.0,-1.0,0.0",0.99626786,0.00081776,0.002914392,0.002811552,0.99597186,0.001216573,o/-
72,to,attempt,Other countries attempted to get a mandate to administer Palestine.,Other countries did not attempt to get a mandate to administer Palestine.,Other countries got a mandate to administer palestine.,"0.0,0.0,1.0","-2.0,-2.0,-1.0",0.98998374,0.003996724,0.00601957,0.000309479,0.9991794,0.000511141,o/-
73,to,attempt,We attempted to perform activities from the Better Sex video.,We did not attempt to perform activities from the Better Sex video.,We performed activities from the better sex video.,"1.0,1.0,2.0","-2.0,-2.0,-2.0",0.9985098,0.000491705,0.000998483,0.000174238,0.99953055,0.000295225,o/-
74,to,attempt,Each manager has attempted to make employees feel isolated.,Each manager has not attempted to make employees feel isolated.,Each manager has made employees feel isolated.,"1.0,1.0,2.0","-1.0,0.0,0.0",0.99813014,0.000570555,0.00129938,0.000267624,0.9993388,0.000393603,o/-
75,to,attempt,"His love unrequited, he attempted to think of other things.","His love unrequited, he did not attempt to think of other things.","His love unrequited, he thought of other things.","0.0,0.0,1.0","-2.0,-1.0,0.0",0.99864584,0.000408041,0.000946089,0.000393068,0.99897707,0.000629795,o/-
76,to,attempt,Their LiveTopics technology attempts to help you do this.,Their LiveTopics technology does not attempt to help you do this.,Their livetopics technology helps you do this.,"0.0,1.0,2.0","-1.0,-1.0,-1.0",0.9968437,0.000755249,0.002401025,0.000236914,0.99934894,0.000414064,o/-
77,to,attempt,The lawyer attempted to prove the impossible possible.,The lawyer did not attempt to prove the impossible possible.,The lawyer proved the impossible possible.,"0.0,0.0,0.0","-2.0,0.0,0.0",0.8604054,0.01716423,0.122430466,0.000178444,0.9994511,0.000370391,o/-
78,to,attempt,That is the reason why we attempted to kill you.,That is the reason why we did not attempt to kill you.,That is the reason why we killed you.,"-2.0,-1.0,-1.0","-2.0,-1.0,0.0",0.99723715,0.001150325,0.001612551,0.000115098,0.9996829,0.000201974,o/-
79,to,attempt,A man attempted to kill Hitler with a bomb.,A man did not attempt to kill Hitler with a bomb.,A man killed hitler with a bomb.,"-1.0,0.0,0.0","-2.0,-2.0,1.0",0.9934638,0.002154745,0.004381414,0.000117357,0.9996587,0.000223874,o/-
80,to,attempt,He attempted to overcome the sensation.,He did not attempt to overcome the sensation.,He overcame the sensation.,"0.0,1.0,1.0","-2.0,0.0,0.0",0.951632,0.009641049,0.038726863,0.00011914,0.9996828,0.0001981,o/-
81,to,attempt,I attempted to back off.  ,I did not attempt to back off.  ,I backed off.,"0.0,0.0,1.0","-2.0,-2.0,-1.0",0.9985668,0.000435317,0.000997867,0.000552119,0.99915946,0.000288493,o/-
82,to,manage,The opponent managed to get back on his feet after rolling outside the blow.,The opponent did not manage to get back on his feet after rolling outside the blow.,The opponent got back on his feet after rolling outside the blow.,"1.0,2.0,2.0","-2.0,-2.0,-1.0",0.9987203,0.000462291,0.000817414,0.000302573,0.99911016,0.000587311,+/-
83,to,seek,They seek to overcome the other using pure physical strength.,They do not seek to overcome the other using pure physical strength.,They overcome the other using pure physical strength.,"0.0,0.0,0.0","-1.0,0.0,0.0",0.9907244,0.00253146,0.00674419,0.000243216,0.99922335,0.00053343,o/o
84,to,seek,It seeks to undermine the possibility of corrective action.,It does not seek to undermine the possibility of corrective action.,It undermines the possibility of corrective action.,"0.0,1.0,2.0","-2.0,-2.0,-1.0",0.9983208,0.00035343,0.001325816,0.000237778,0.99929976,0.000462484,o/o
85,to,seek,The party sought to establish ties with the United States.,The party did not seek to establish ties with the United States.,The party established ties with the united states.,"-2.0,0.0,1.0","-1.0,-1.0,0.0",0.99151564,0.000911009,0.007573359,0.000644733,0.9981629,0.001192432,o/o
86,to,seek,WRAP seeks to reduce SO2 by 20% in the next twenty years.,WRAP does not seek to reduce SO2 by 20% in the next twenty years.,Wrap reduces so2 by 20 % in the next twenty years.,"-1.0,0.0,0.0","-1.0,-1.0,0.0",0.9979079,0.000513349,0.001578842,0.001509105,0.9956612,0.002829728,o/o
87,to,seek,State officials seek to improve the economy of the state.,State officials do not seek to improve the economy of the state.,State officials improve the economy of the state.,"-1.0,0.0,2.0","-2.0,-1.0,-1.0",0.99505913,0.000581268,0.004359703,0.000529828,0.99809784,0.001372314,o/o
88,to,seek,The new voices sought to replace the established order.,The new voices did not seek to replace the established order.,The new voices replaced the established order.,"0.0,0.0,1.0","-2.0,-1.0,0.0",0.93316805,0.061725453,0.005106476,0.001909147,0.9960912,0.001999678,o/o
89,to,seek,The commission seeks to fill gaps with minorities.,The commission does not seek to fill gaps with minorities.,The commission fills gaps with minorities.,"0.0,0.0,1.0","-1.0,-1.0,-1.0",0.9966491,0.000677789,0.002673144,0.000668373,0.99811196,0.001219695,o/o
90,to,seek,Beijing sought to create a good relationship.,Beijing did not seek to create a good relationship.,Beijing created a good relationship.,"0.0,1.0,2.0","-2.0,0.0,0.0",0.9913064,0.000648892,0.008044631,0.000865613,0.9976096,0.001524769,o/o
91,to,manage,Of course the governors and the president managed to turn deficits into surpluses.,Of course the governors and the president did not manage to turn deficits into surpluses.,Of course the governors and the president turned deficits into surpluses.,"1.0,2.0,2.0","-2.0,-2.0,-2.0",0.99786013,0.001179894,0.000959937,0.000168095,0.9995216,0.000310254,+/-
92,to,agree,Ca'daan agreed to take it.,Ca'daan did not agree to take it.,Ca ` daan took it.,"1.0,1.0,1.0","-2.0,0.0,0.0",0.9968534,0.00108503,0.002061531,0.000860254,0.9985277,0.000612028,o/o
93,to,agree,She said she agreed to stop there.,She said she did not agree to stop there.,She said she stopped there.,"0.0,0.0,2.0","-2.0,-1.0,0.0",0.9983296,0.000409117,0.001261315,0.00123459,0.9978157,0.000949734,o/o
94,to,agree,They've only agreed to keep talking.,They've only not agreed to keep talking.,They've only kept talking.,"1.0,1.0,1.0","-1.0,-1.0,0.0",0.9983664,0.000428867,0.001204762,0.034439124,0.9622649,0.003296036,o/o
95,to,expect,They expected to wait a while to learn more of the crooks.,They did not expect to wait a while to learn more of the crooks.,They waited a while to learn more of the crooks.,"-2.0,0.0,1.0","0.0,0.0,0.0",0.99753547,0.000617257,0.001847198,0.007384612,0.99016446,0.002450896,o/o
96,to,happen,She 'happened to be near the door'. ,She 'happened to be near the door'. ,She ` was near the door'.,"2.0,2.0,2.0","1.0,2.0,2.0",0.99676245,0.000351981,0.002885568,0.99676245,0.000351981,0.002885568,o/o
97,to,claim,Weld also has claimed to be a victim of Helms' ideological extortion.,Weld also has not claimed to be a victim of Helms' ideological extortion.,Weld also has been a victim of helms' ideological extortion.,"0.0,0.0,1.0","-1.0,-1.0,0.0",0.9975087,0.000400632,0.002090673,0.00015039,0.9994147,0.000434988,o/o
98,to,claim,The Museum des Beaux-Arts claims to be the oldest museum in France.,The Museum des Beaux-Arts does not claim to be the oldest museum in France.,The museum des beaux-arts is the oldest museum in france.,"1.0,1.0,1.0","-1.0,-1.0,-1.0",0.99661356,0.000321126,0.003065312,0.000228602,0.9991992,0.000572241,o/o
99,to,claim,They said the hijackers wielded knives and claimed to have a bomb.,They said the hijackers wielded knives and did not claim to have a bomb.,They said the hijackers wielded knives and had a bomb.,"1.0,2.0,2.0","-1.0,-1.0,0.0",0.99875534,0.000346391,0.000898318,0.000540478,0.9985868,0.000872756,o/o
100,to,claim,They claim to look instead at future cash flows to stockholders.,They do not claim to look instead at future cash flows to stockholders.,They look instead at future cash flows to stockholders.,"1.0,1.0,1.0","-1.0,0.0,0.0",0.9975776,0.000698123,0.00172431,0.000434267,0.99872667,0.000839036,o/o
101,to,claim,Both the Post and ABC claim to have copies of the original TP.,Both the Post and ABC do not claim to have copies of the original TP.,Both the post and abc have copies of the original tp.,"0.0,1.0,1.0","-2.0,0.0,0.0",0.9983235,0.000376241,0.00130025,0.000374489,0.99842644,0.001199168,o/o
102,to,claim,Clinton claims to have known nothing about the Chinese plans.,Clinton does not claim to have known nothing about the Chinese plans.,Clinton has known nothing about the chinese plans.,"0.0,1.0,1.0","-2.0,0.0,0.0",0.9977518,0.000434576,0.001813663,0.9950139,0.001594175,0.003391859,o/o
