verb_renamed,verb_AE,verb_BE,Mean.Proj,Mean.Acc,verb_past_AE,verb_past_BE,special requirements,the ballon popped,Mary popped the ballon
clarify,clarify,clarify,0.366666667,5.933333333,clarified,clarified,,,
comment,comment,comment,0.266666667,5.666666667,commented,commented,,,
communicate,communicate,communicate,0.3,5.566666667,communicated,communicated,,,
complain,complain,complain,0.6,5.566666667,complained,complained,,,
concede,concede,concede,0.4,5.733333333,conceded,conceded,,,
confess,confess,confess,0.4,5.733333333,confessed,confessed,,,
confide,confide,confide,0.2,5.233333333,confided,confided,,,
confirm,confirm,confirm,0.3,6.633333333,confirmed,confirmed,,,
contend,contend,contend,0.066666667,5.4,contended,contended,,,
contest,contest,contest,0.333333333,5.666666667,contested,contested,,,
convey,convey,convey,0.4,5.466666667,conveyed,conveyed,,,
corroborate,corroborate,corroborate,0.166666667,5.4,corroborated,corroborated,,,
cry,cry,cry,0.833333333,5.3,cried,cried,,,
debate,debate,debate,0.166666667,5.766666667,debated,debated,,,
declare,declare,declare,0.266666667,5.933333333,declared,declared,,,
decree,decree,decree,0.066666667,5.466666667,decreed,decreed,subjunctive,,
demand,demand,demand,0.033333333,4.8,demanded,demanded,subjunctive,,
demonstrate,demonstrate,demonstrate,0.137931034,5.137931034,demonstrated,demonstrated,,,
denounce,denounce,denounce,0.333333333,5.666666667,denounced,denounced,,,
deny,deny,deny,0.2,6.5,denied,denied,,,
depict,depict,depict,0.133333333,4.966666667,depicted,depicted,,,
describe,describe,describe,0.3,5.066666667,described,described,,,
detail,detail,detail,0.433333333,5.1,detailed,detailed,,,
dictate,dictate,dictate,0.266666667,4.6,dictated,dictated,subjunctive,,
disclose,disclose,disclose,0.666666667,6.4,disclosed,disclosed,,,
discuss,discuss,discuss,0.333333333,5.433333333,discussed,discussed,,,
dismiss,dismiss,dismiss,0.4,5.833333333,dismissed,dismissed,,,
dispel,dispel,dispel,0.1,4.5,dispelled,dispelled,,,
display,display,display,0.3,4.033333333,displayed,displayed,,,
dispute,dispute,dispute,0.266666667,6.366666667,disputed,disputed,,,
divulge,divulge,divulge,0.5,5.833333333,divulged,divulged,,,
document,document,document,0.633333333,5.833333333,documented,documented,,,
elaborate,elaborate,elaborate,0.4,5.366666667,elaborated,elaborated,,,
email,email,email,0.266666667,5.1,emailed,emailed,,,
embellish,embellish,embellish,0.2,4.633333333,embellished,embellished,,,
emphasize,emphasize,emphasise,0.5,5.8,emphasized,emphasised,,,
endorse,endorse,endorse,0.233333333,4.5,endorsed,endorsed,,,
establish,establish,establish,0.166666667,5.833333333,established,established,,,
exclaim,exclaim,exclaim,0.2,5.666666667,exclaimed,exclaimed,,,
exhibit,exhibit,exhibit,0.333333333,4.466666667,exhibited,exhibited,,,
explain,explain,explain,0.6,6.1,explained,explained,,,
expose,expose,expose,0.533333333,5.533333333,exposed,exposed,,,
express,express,express,0.166666667,4.966666667,expressed,expressed,,,
fabricate,fabricate,fabricate,-0.2,5.6,fabricated,fabricated,,,
fake,fake,fake,0.033333333,5.3,faked,faked,,,
fax,fax,fax,0.066666667,4.2,faxed,faxed,,,
feign,feign,feign,-0.133333333,4.766666667,feigned,feigned,about the subject,,
fess up,fess up,fess up,0.733333333,5.966666667,fessed up,fessed up,,,
flaunt,flaunt,flaunt,0.566666667,5.766666667,flaunted,flaunted,,,
forecast,forecast,forecast,0.068965517,5.448275862,forecasted,forecasted,future,,
foretell,foretell,foretell,0.266666667,4.8,foretold,foretold,future,,
fuss,fuss,fuss,0.566666667,5.133333333,fussed,fussed,,,
gab,gab,gab,0.5,4.033333333,gabbed,gabbed,,,
gasp,gasp,gasp,0.466666667,4.766666667,gasped,gasped,,,
gloat,gloat,gloat,0.4,6.4,gloated,gloated,,,
gossip,gossip,gossip,0.233333333,5.166666667,gossiped,gossiped,,,
groan,groan,groan,0.366666667,4.966666667,groaned,groaned,,,
grumble,grumble,grumble,0.5,4.966666667,grumbled,grumbled,,,
grunt,grunt,grunt,0.233333333,4.1,grunted,grunted,,,
guarantee,guarantee,guarantee,0.266666667,6.033333333,guaranteed,guaranteed,,,
gush,gush,gush,0.466666667,5.166666667,gushed,gushed,,,
hint,hint,hint,0.066666667,5.966666667,hinted,hinted,,,
holler,holler,holler,0.1,4.166666667,hollered,hollered,,,
howl,howl,howl,0.4,4.166666667,howled,howled,,,
imply,imply,imply,0.066666667,6.1,implied,implied,,,
indicate,indicate,indicate,0.366666667,5.966666667,indicated,indicated,,,
insinuate,insinuate,insinuate,0.166666667,5.633333333,insinuated,insinuated,,,
insist,insist,insist,0.166666667,5.8,insisted,insisted,,,
jest,jest,jest,0.066666667,4.266666667,jested,jested,,,
joke,joke,joke,0.1,5.866666667,joked,joked,,,
leak,leak,leak,0.566666667,5.766666667,leaked,leaked,,,
lecture,lecture,lecture,0.4,4.133333333,lectured,lectured,,,
lie,lie,lie,0.166666667,4.3,lied,lied,,,
log,log,log,0.533333333,4.833333333,logged,logged,,,
maintain,maintain,maintain,0.266666667,5.066666667,maintained,maintained,,,
mark,mark,mark,0.166666667,4.533333333,marked,marked,,,
mention,mention,mention,0.366666667,6.4,mentioned,mentioned,,,
moan,moan,moan,0.466666667,4.866666667,moaned,moaned,,,
mumble,mumble,mumble,0.2,5.033333333,mumbled,mumbled,,,
murmur,murmur,murmur,0.433333333,5.366666667,murmured,murmured,,,
mutter,mutter,mutter,0.333333333,5.1,muttered,muttered,,,
narrate,narrate,narrate,0.133333333,5.4,narrated,narrated,,,
ordain,ordain,ordain,0.266666667,4.4,ordained,ordained,subjunctive,,
phone,phone,phone,0.3,4.6,phoned,phoned,,,
point out,point out,point out,0.566666667,5.8,pointed out,pointed out,,,
posit,posit,posit,0.1,4.8,posited,posited,,,
post,post,post,0.166666667,5.766666667,posted,posted,,,
pout,pout,pout,0.666666667,5.366666667,pouted,pouted,,,
praise,praise,praise,0.4,4.166666667,praised,praised,,,
preach,preach,preach,0.4,5.866666667,preached,preached,,,
predict,predict,predict,0.233333333,5.366666667,predicted,predicted,future,,
pretend,pretend,pretend,-0.366666667,6,pretended,pretended,,,
proclaim,proclaim,proclaim,0.133333333,5.266666667,proclaimed,proclaimed,,,
promise,promise,promise,0.1,5.466666667,promised,promised,,,
prophesy,prophesy,prophesy,0.133333333,4.2,prophesied,prophesied,future,,
propose,propose,propose,0.066666667,5.4,proposed,proposed,,,
prove,prove,prove,0.206896552,5.793103448,proved,proved,,,
publicize,publicize,publicise,0.586206897,5.965517241,publicized,publicised,,,
publish,publish,publish,0.266666667,5.266666667,published,published,,,
quarrel,quarrel,quarrel,0.133333333,4.1,quarreled,quarrelled,,,
question,question,question,0.3,6.033333333,questioned,questioned,,,
quip,quip,quip,0.266666667,4.6,quipped,quipped,,,
radio,radio,radio,0.266666667,4.8,radioed,radioed,,,
rant,rant,rant,0.333333333,5.033333333,ranted,ranted,,,
rave,rave,rave,0.266666667,5.5,raved,raved,,,
reaffirm,reaffirm,reaffirm,0.233333333,5.6,reaffirmed,reaffirmed,,,
reassert,reassert,reassert,0.166666667,6.066666667,reasserted,reasserted,,,
recap,recap,recap,0.133333333,5.233333333,recapped,recapped,,,
record,record,record,0.4,5.8,recorded,recorded,,,
reiterate,reiterate,reiterate,0.533333333,5.466666667,reiterated,reiterated,,,
reject,reject,reject,0.066666667,5.733333333,rejected,rejected,,,
relate,relate,relate,0.4,4.933333333,related,related,,,
remark,remark,remark,0.233333333,5.566666667,remarked,remarked,,,
repeat,repeat,repeat,0.4,5,repeated,repeated,,,
reply,reply,reply,0.266666667,4.7,replied,replied,,,
report,report,report,0.333333333,6.133333333,reported,reported,,,
request,request,request,0.133333333,4.633333333,requested,requested,subjunctive,,
respond,respond,respond,0.233333333,4.966666667,responded,responded,,,
restate,restate,restate,0.366666667,5.4,restated,restated,,,
retort,retort,retort,0.233333333,4.633333333,retorted,retorted,,,
retract,retract,retract,0.033333333,4.6,retracted,retracted,,,
reveal,reveal,reveal,0.566666667,6.5,revealed,revealed,,,
rule,rule,rule,0.133333333,4.566666667,ruled,ruled,subjunctive,,
say,say,say,0.266666667,5.766666667,said,said,,,
scoff,scoff,scoff,0.4,4.7,scoffed,scoffed,,,
scream,scream,scream,0.2,5.333333333,screamed,screamed,,,
scribble,scribble,scribble,0.233333333,4.8,scribbled,scribbled,,,
share,share,share,0.566666667,5.5,shared,shared,,,
shout,shout,shout,0.333333333,5.133333333,shouted,shouted,,,
show,show,show,0.4,5.366666667,showed,showed,,,
showcase,showcase,showcase,0.333333333,5.2,showcased,showcased,,,
shriek,shriek,shriek,0.466666667,4.433333333,shrieked,shrieked,,,
sigh,sigh,sigh,0.3,4.233333333,sighed,sighed,,,
signal,signal,signal,0.366666667,5.8,signaled,signalled,,,
signify,signify,signify,0.233333333,5.766666667,signified,signified,,,
sing,sing,sing,0.206896552,4.24137931,sang,sang,,,
sketch,sketch,sketch,0.3,4.1,sketched,sketched,,,
snitch,snitch,snitch,0.533333333,4.666666667,snitched,snitched,,,
sob,sob,sob,0.466666667,4.433333333,sobbed,sobbed,,,
specify,specify,specify,0.366666667,5.933333333,specified,specified,,,
spout,spout,spout,0.433333333,4.366666667,spouted,spouted,,,
squeal,squeal,squeal,0.366666667,4.966666667,squealed,squealed,,,
stammer,stammer,stammer,0.433333333,4.166666667,stammered,stammered,,,
state,state,state,0.2,5.733333333,stated,stated,,,
stipulate,stipulate,stipulate,0.233333333,5.366666667,stipulated,stipulated,,,
stress,stress,stress,0.6,5.8,stressed,stressed,,,
submit,submit,submit,0.166666667,4.4,submitted,submitted,,,
suggest,suggest,suggest,-0.166666667,6.2,suggested,suggested,,,
summarize,summarize,summarise,0.366666667,4.666666667,summarized,summarised,,,
swear,swear,swear,0.233333333,5.2,swore,swore,,,
tease,tease,tease,0.166666667,5.066666667,teased,teased,,,
testify,testify,testify,0.2,6.133333333,testified,testified,,,
tweet,tweet,tweet,0.233333333,5.733333333,tweeted,tweeted,,,
type,type,type,0.1,5.766666667,typed,typed,,,
uncover,uncover,uncover,0.266666667,5.633333333,uncovered,uncovered,,,
underline,underline,underline,0.333333333,4.566666667,underlined,underlined,,,
underscore,underscore,underscore,0.233333333,4.1,underscored,underscored,,,
uphold,uphold,uphold,0.266666667,5.366666667,upheld,upheld,,,
utter,utter,utter,0.233333333,5.033333333,uttered,uttered,,,
voice,voice,voice,0.433333333,5.933333333,voiced,voiced,,,
vow,vow,vow,0.233333333,5.5,vowed,vowed,,,
wager,wager,wager,0.1,5.433333333,wagered,wagered,,,
warn,warn,warn,0.551724138,5.413793103,warned,warned,,,
warrant,warrant,warrant,0.2,4.566666667,warranted,warranted,,,
weep,weep,weep,0.633333333,4.266666667,wept,wept,,,
whimper,whimper,whimper,0.466666667,4.7,whimpered,whimpered,,,
whine,whine,whine,0.7,5.433333333,whined,whined,,,
whisper,whisper,whisper,0.3,4.933333333,whispered,whispered,,,
write,write,write,0.3,5.433333333,wrote,wrote,,,
yell,yell,yell,0.266666667,4.8,yelled,yelled,,,
