"predicate","rating","name","CC","participant_id","age","gender","rt","trial_index"
"dispute",1,"Reese","the egg cracked","11cfc4be-697d-4058-8d07-d56be969435c","57","female",3626,15
"indicate",1,"Morgan","the balloon popped","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",9311,3
"groan",1,"Stevie","the paper burned","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",9961,4
"reaffirm",1,"Charlie","the bolt loosened","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",7372,5
"type",1,"Jordan","the room darkened","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",8579,7
"insist",1,"Blake","the computer restarted","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",17346,8
"communicate",1,"Harper","the factory closed","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",7679,9
"embellish",1,"Frankie","the gate opened","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",6679,11
"complain",0.98,"Evan","the airbag deployed","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",7413,12
"warn",1,"Dylan","the sauce thickened","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",5297,13
"confirm",1,"Jamie","the egg cracked","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",5645,14
"submit",1,"Reese","the knot tightened","7e19178c-6cda-495f-b7d4-848d6e7a3c6d","61","female",16196,15
"warn",1,"Harper","the egg cracked","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",6831,4
"posit",1,"Stevie","the airbag deployed","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",7064,5
"state",1,"Reese","the gate opened","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",11131,6
"circulate",1,"Jordan","the computer restarted","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",4948,7
"divulge",1,"Jamie","the balloon popped","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",5298,8
"think",-1,"Dylan","the factory closed","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",7198,9
"scoff",1,"Charlie","the sauce thickened","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",5231,10
"contend",1,"Frankie","the bolt loosened","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",6881,11
"corroborate",1,"Blake","the knot tightened","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",6782,12
"utter",1,"Morgan","the paper burned","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",9198,14
"remark",1,"Evan","the room darkened","ec56fd0c-0e64-4a41-b004-a65608d3ab05","42","female",17215,15
"log",1,"Frankie","the egg cracked","1984e371-3866-4945-8282-83882ea9260a","49","female",7447,3
"gush",1,"Dylan","the knot tightened","1984e371-3866-4945-8282-83882ea9260a","49","female",6983,5
"reiterate",1,"Reese","the airbag deployed","1984e371-3866-4945-8282-83882ea9260a","49","female",8233,6
"quip",1,"Harper","the sauce thickened","1984e371-3866-4945-8282-83882ea9260a","49","female",6113,7
"maintain",1,"Jamie","the room darkened","1984e371-3866-4945-8282-83882ea9260a","49","female",5363,8
"fax",1,"Stevie","the gate opened","1984e371-3866-4945-8282-83882ea9260a","49","female",5394,9
"stress",1,"Jordan","the bolt loosened","1984e371-3866-4945-8282-83882ea9260a","49","female",5631,11
"utter",1,"Morgan","the balloon popped","1984e371-3866-4945-8282-83882ea9260a","49","female",5930,12
"spout",1,"Evan","the computer restarted","1984e371-3866-4945-8282-83882ea9260a","49","female",5387,13
"gloat",1,"Charlie","the factory closed","1984e371-3866-4945-8282-83882ea9260a","49","female",5733,14
"respond",1,"Blake","the paper burned","1984e371-3866-4945-8282-83882ea9260a","49","female",4553,15
"challenge",1,"Reese","the sauce thickened","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",10462,3
"bellow",1,"Dylan","the computer restarted","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",6650,4
"retort",-1,"Harper","the room darkened","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",8492,5
"summarize",-1,"Evan","the balloon popped","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",7588,6
"attest",-1,"Frankie","the airbag deployed","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",4516,8
"cheer",-1,"Morgan","the factory closed","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",5485,9
"log",-1,"Jamie","the gate opened","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",4555,10
"contest",-1,"Charlie","the egg cracked","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",4527,11
"affirm",-1,"Jordan","the paper burned","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",4010,12
"debate",-1,"Stevie","the knot tightened","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",5073,13
"stammer",-1,"Blake","the bolt loosened","5ee568e6-c5b4-4557-b492-86b60e9e6ced","32","male",6453,14
"phone",-0.56,"Dylan","the gate opened","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",16671,4
"stress",1,"Charlie","the bolt loosened","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",9771,5
"scream",0.42,"Evan","the room darkened","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",9250,6
"mumble",-0.3,"Stevie","the sauce thickened","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",9243,8
"squeal",-0.2,"Morgan","the egg cracked","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",6972,9
"state",-0.28,"Reese","the computer restarted","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",8467,10
"grunt",-0.22,"Jordan","the balloon popped","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",7012,11
"bitch",-0.26,"Frankie","the knot tightened","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",6244,12
"announce",0.32,"Harper","the airbag deployed","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",5485,13
"question",0.24,"Jamie","the paper burned","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",6517,14
"sketch",0.32,"Blake","the factory closed","99ba50e7-2468-4d73-a903-cd9cbc70fe06","43","female",8154,15
"uphold",-1,"Charlie","the gate opened","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",7591,3
"propose",-1,"Reese","the balloon popped","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",12439,4
"reaffirm",0,"Dylan","the room darkened","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",17687,5
"challenge",1,"Morgan","the airbag deployed","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",11520,6
"leak",1,"Jordan","the egg cracked","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",10470,7
"quip",0.48,"Evan","the sauce thickened","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",7111,8
"declare",1,"Frankie","the bolt loosened","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",5735,11
"say",0.18,"Stevie","the knot tightened","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",10360,12
"announce",1,"Blake","the paper burned","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",6671,13
"grumble",0.62,"Harper","the computer restarted","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",8007,14
"rave",1,"Jamie","the factory closed","637212af-7c5c-4e94-85bd-88895a99e29f","36","female",5367,15
"attest",1,"Charlie","the knot tightened","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",7841,3
"signal",1,"Evan","the room darkened","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",6554,4
"gasp",1,"Morgan","the paper burned","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",5556,6
"complain",1,"Stevie","the bolt loosened","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",4820,7
"communicate",1,"Harper","the airbag deployed","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",5702,8
"flaunt",1,"Jamie","the factory closed","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",5017,9
"grumble",1,"Reese","the computer restarted","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",4421,10
"answer",0,"Frankie","the egg cracked","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",9823,11
"discuss",0,"Blake","the sauce thickened","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",7719,13
"dispel",1,"Dylan","the balloon popped","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",9016,14
"cheer",1,"Jordan","the gate opened","192ff8fa-7255-48a6-a0af-3822ebcb2882","59","female",4505,15
"charge",-0.48,"Morgan","the airbag deployed","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",10111,3
"signal",-0.78,"Frankie","the factory closed","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",6546,4
"remark",-0.7,"Stevie","the paper burned","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",4847,5
"maintain",-0.68,"Jordan","the sauce thickened","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",4767,6
"sketch",-0.56,"Blake","the gate opened","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",5990,8
"circulate",1,"Reese","the knot tightened","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",6775,9
"disclose",1,"Dylan","the balloon popped","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",4110,10
"murmur",1,"Charlie","the bolt loosened","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",5816,11
"dismiss",1,"Harper","the room darkened","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",3954,12
"rant",1,"Jamie","the computer restarted","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",8924,14
"fess up",1,"Evan","the egg cracked","9b83b6f0-ed8e-4d2f-9eb9-325beca4d866","28","male",4485,15
"sigh",1,"Frankie","the computer restarted","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",15680,3
"grumble",1,"Evan","the knot tightened","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",7512,4
"groan",1,"Reese","the bolt loosened","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",46283,5
"broadcast",1,"Jamie","the sauce thickened","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",5992,6
"attest",0.52,"Dylan","the airbag deployed","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",14196,7
"voice",0.02,"Stevie","the room darkened","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",6182,9
"specify",0.26,"Morgan","the paper burned","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",9968,10
"describe",-0.14,"Jordan","the gate opened","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",29992,11
"think",-0.22,"Blake","the factory closed","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",71292,12
"boast",0.14,"Harper","the balloon popped","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",5931,13
"apologize",0.74,"Charlie","the egg cracked","4d7f4c97-5286-4e86-85b8-a468e67f7a03","61","female",5289,14
"report",-0.04,"Jordan","the egg cracked","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",7030,3
"cheer",0.02,"Evan","the airbag deployed","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",11627,4
"posit",-0.4,"Blake","the balloon popped","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",7054,5
"uphold",0.02,"Dylan","the knot tightened","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",6667,6
"promise",0,"Stevie","the room darkened","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",13117,7
"blog",-0.16,"Harper","the gate opened","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",8002,8
"testify",-0.04,"Frankie","the bolt loosened","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",7740,9
"display",-0.24,"Charlie","the computer restarted","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",10328,10
"radio",1,"Reese","the paper burned","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",6340,12
"summarize",1,"Morgan","the factory closed","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",5116,13
"contest",0.72,"Jamie","the sauce thickened","53fe69b7-ccfb-4627-bc30-56aadf47662c","35","male",8400,14
"hint",-1,"Charlie","the egg cracked","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",18778,3
"demonstrate",1,"Evan","the gate opened","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",11320,4
"rant",1,"Frankie","the paper burned","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",5686,5
"assert",-1,"Morgan","the airbag deployed","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",10252,6
"say",1,"Jordan","the room darkened","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",10222,7
"establish",-1,"Harper","the sauce thickened","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",7757,8
"scoff",1,"Reese","the factory closed","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",5551,10
"guarantee",-1,"Dylan","the knot tightened","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",9568,11
"snitch",1,"Blake","the computer restarted","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",4859,12
"explain",1,"Jamie","the balloon popped","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",5778,14
"stammer",1,"Stevie","the bolt loosened","e32f3f95-7e10-480c-8f57-2a9535bcce13","51","female",4210,15
"shout",0.22,"Morgan","the computer restarted","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",14120,3
"pout",0.98,"Harper","the balloon popped","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",6913,4
"declare",0.18,"Reese","the factory closed","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",11839,5
"imply",0.4,"Evan","the knot tightened","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",23901,6
"scoff",0.7,"Charlie","the gate opened","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",25679,7
"narrate",0.46,"Blake","the paper burned","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",148215,8
"share",0.16,"Jamie","the sauce thickened","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",4711,10
"circulate",-0.34,"Frankie","the egg cracked","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",5143,11
"bitch",0.56,"Jordan","the airbag deployed","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",4731,12
"yell",0.64,"Dylan","the room darkened","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",40649,13
"reject",0.56,"Stevie","the bolt loosened","06cd1dcc-216f-4533-a07c-7c65927cdfc8","31","female",7799,15
"indicate",1,"Reese","the sauce thickened","f747858e-a00e-488c-9304-a7bf8302c0cd","69","female",10852,3
"suggest",1,"Morgan","the room darkened","f747858e-a00e-488c-9304-a7bf8302c0cd","69","female",14429,4
"shout",0,"Frankie","the knot tightened","f747858e-a00e-488c-9304-a7bf8302c0cd","69","female",9864,5
"advertise",1,"Jamie","the gate opened","f747858e-a00e-488c-9304-a7bf8302c0cd","69","female",6573,6
"retract",1,"Charlie","the balloon popped","f747858e-a00e-488c-9304-a7bf8302c0cd","69","female",9272,7
